Report Month/Year,Fuel Type,Fuel Quantity (In Gallons)
04/01/2021,COMPRESSED NATURAL GAS (CNG),103917.17
03/01/2021,COMPRESSED NATURAL GAS (CNG),107348.92
02/01/2021,COMPRESSED NATURAL GAS (CNG),103748.05
01/01/2021,UNLEADED,159857.35
04/01/2021,UNLEADED,157478.99
06/01/2021,ETHANOL,1647.29
04/01/2021,ETHANOL,1564.51
04/01/2021,DIESEL,204191.86
03/01/2021,ETHANOL,1446.17
05/01/2021,COMPRESSED NATURAL GAS (CNG),105847.40
06/01/2021,DIESEL,210774.32
06/01/2021,UNLEADED,157493.19
01/01/2021,COMPRESSED NATURAL GAS (CNG),105579.36
03/01/2021,UNLEADED,164030.76
06/01/2021,COMPRESSED NATURAL GAS (CNG),101901.08
05/01/2021,UNLEADED,159124.81
01/01/2021,DIESEL,213080.82
01/01/2021,ETHANOL,1396.35
05/01/2021,ETHANOL,1215.54
02/01/2021,ETHANOL,1283.96
02/01/2021,DIESEL,225468.69
03/01/2021,DIESEL,209121.27
02/01/2021,UNLEADED,149338.63
05/01/2021,DIESEL,210323.12
